Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,msmxSheet__Config__c,msmxSheet__Folder__c,msmxSheet__SharedToGroups__c,msmxSheet__SharedTo__c
a017200000bi2DmAAI,00572000008d2X9AAI,,Dynamic Interaction,2025-04-17T02:10:16.000+0000,00572000008d2X9AAI,2025-04-17T02:12:58.000+0000,00572000008d2X9AAI,2025-04-17T02:12:58.000+0000,2025-04-17T02:12:58.000+0000,2025-04-17T02:12:58.000+0000,"{""layout"":{""type"":""default"",""first"":{}},""version"":""21""}",,Private,Private
a017200000biMCYAA2,00572000008d2X9AAI,,Accommodation,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,"{""layout"":{""type"":""default"",""first"":{}},""version"":""18""}",,Private,Private
a017200000biMCZAA2,00572000008d2X9AAI,,Account/Contact,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,"{""version"":""18"",""layout"":{""first"":{},""type"":""default""}}",,Private,Private
a017200000biMCaAAM,00572000008d2X9AAI,,Book for Event/Message Debug,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,"{""allowDuplicate"":true,""allowCustomize"":true,""lockSheets"":false,""version"":""18"",""layout"":{""second"":{""activePolicy"":""leftMost"",""presentation"":""tabs"",""collapsed"":false,""height"":364},""first"":{""activePolicy"":""leftMost"",""presentation"":""tabs""},""type"":""bottom-footer""}}",,Private,Private
a017200000biMCbAAM,00572000008d2X9AAI,,Custom Event,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,00572000008d2X9AAI,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,2025-04-17T02:07:43.000+0000,"{""layout"":{""type"":""default"",""first"":{}},""version"":""20""}",,Private,Private
